Stock,Date,Actual,Forecast
NVDA,2023-10-31,40.779998779296875,41.195426803669214
NVDA,2023-11-01,42.32500076293946,41.34257358346277
NVDA,2023-11-02,43.506000518798835,41.49868818576752
NVDA,2023-11-03,45.00500106811524,41.666281255582575
NVDA,2023-11-06,45.7509994506836,41.890627542033734
NVDA,2023-11-07,45.95500183105469,42.1941964273998
NVDA,2023-11-08,46.57400131225585,42.38786512747111
NVDA,2023-11-09,46.95000076293945,42.640603536861704
NVDA,2023-11-10,48.334999084472656,42.80987840727827
NVDA,2023-11-13,48.61999893188476,43.06075833636439
NVDA,2023-11-14,49.655998229980476,43.415456500844606
NVDA,2023-11-15,48.888000488281264,43.80420025513715
NVDA,2023-11-16,49.47999954223632,44.2610086198164
NVDA,2023-11-17,49.29800033569336,44.865928019759316
NVDA,2023-11-20,50.409000396728516,45.332596939105606
NVDA,2023-11-21,49.94400024414063,45.81487372019634
NVDA,2023-11-22,48.71599960327148,46.26115979169036
NVDA,2023-11-24,47.7760009765625,46.763786580877664
NVDA,2023-11-27,48.24200057983397,47.26338369777382
NVDA,2023-11-28,47.82099914550781,47.85057918063438
NVDA,2023-11-29,48.139999389648445,48.34917547999252
NVDA,2023-11-30,46.770000457763665,48.82236346922884
NVDA,2023-12-01,46.764999389648445,49.14311346674006
NVDA,2023-12-04,45.5099983215332,49.30538935141812
NVDA,2023-12-05,46.566001892089844,49.317618320621165
NVDA,2023-12-06,45.502998352050774,49.33105548423863
NVDA,2023-12-07,46.596000671386726,49.26581624832751
NVDA,2023-12-08,47.50600051879883,49.160013174303025
NVDA,2023-12-11,46.62699890136718,49.09548251608533
NVDA,2023-12-12,47.65700149536132,48.69473234241129
NVDA,2023-12-13,48.08800125122071,48.17236256248667
NVDA,2023-12-14,48.349998474121094,47.98391545097392
NVDA,2023-12-15,48.889999389648445,47.72592061714955
NVDA,2023-12-18,50.07699966430665,47.717301341008444
NVDA,2023-12-19,49.60400009155273,47.76537268957534
NVDA,2023-12-20,48.11100006103516,47.72360783430866
NVDA,2023-12-21,48.99000167846679,47.67363724686428
NVDA,2023-12-22,48.830001831054695,47.57737820907404
NVDA,2023-12-26,49.27899932861329,47.65530999978102
NVDA,2023-12-27,49.41699981689452,47.67271985487769
NVDA,2023-12-28,49.52199935913087,47.7573704875223
NVDA,2023-12-29,49.52199935913087,47.839394685405786
NVDA,2024-01-02,48.16799926757813,47.9965996742284
NVDA,2024-01-03,47.56900024414062,48.20788661946121
NVDA,2024-01-04,47.99800109863282,48.35576955450008
NVDA,2024-01-05,49.09700012207031,48.444729263979845
NVDA,2024-01-08,52.25299835205079,48.64186989709797
NVDA,2024-01-09,53.13999938964844,48.883784146343665
NVDA,2024-01-10,54.34999847412108,49.15483640457866
NVDA,2024-01-11,54.821998596191385,49.61253801044282
NVDA,2024-01-12,54.709999084472656,49.955085797455695
NVDA,2024-01-16,56.3819999694824,50.35748845796389
NVDA,2024-01-17,56.05300140380861,50.73334565483939
NVDA,2024-01-18,57.10699844360354,51.177104908261455
NVDA,2024-01-19,59.491001129150405,51.48956030830585
NVDA,2024-01-22,59.653999328613274,51.787349376380526
NVDA,2024-01-23,59.873001098632834,52.32383904703371
NVDA,2024-01-24,61.361999511718736,52.981201337542004
NVDA,2024-01-25,61.617000579833984,53.68090902650012
NVDA,2024-01-26,61.03099822998046,54.43561582890263
NVDA,2024-01-29,62.465000152587876,55.20096112250036
NVDA,2024-01-30,62.77399826049804,55.905955348117594
NVDA,2024-01-31,61.52700042724611,56.80888324850622
NVDA,2024-02-01,63.027000427246115,57.59199982625047
NVDA,2024-02-02,66.1600036621094,58.577787096051246
NVDA,2024-02-05,69.33200073242188,59.66586013615458
NVDA,2024-02-06,68.22299957275393,60.766900006475915
NVDA,2024-02-07,70.09899902343753,61.756744171149265
NVDA,2024-02-08,69.64099884033202,62.76184751862685
NVDA,2024-02-09,72.1330032348633,63.66711873089454
NVDA,2024-02-12,72.24800109863283,64.62018982129743
NVDA,2024-02-13,72.12799835205075,65.60999511593172
NVDA,2024-02-14,73.90000152587889,66.50903839427738
NVDA,2024-02-15,72.65799713134767,67.53470674255111
NVDA,2024-02-16,72.61299896240232,68.34043681025386
NVDA,2024-02-20,69.45200347900393,69.12106668394196
NVDA,2024-02-21,67.47200012207034,69.59656641585345
NVDA,2024-02-22,78.53800201416014,69.95281354200783
NVDA,2024-02-23,78.81700134277345,70.63005578051336
NVDA,2024-02-26,79.09200286865236,71.6448722092914
NVDA,2024-02-27,78.70099639892575,72.48848744378944
NVDA,2024-02-28,77.66300201416018,73.30860648765487
NVDA,2024-02-29,79.11199951171874,74.23223312318405
NVDA,2024-03-01,82.27899932861328,75.21696507178507
NVDA,2024-03-04,85.23699951171871,75.99743444084584
NVDA,2024-03-05,85.96399688720705,77.13161448842308
NVDA,2024-03-06,88.69999694824219,78.05190613872469
NVDA,2024-03-07,92.66899871826175,79.1930061033676
NVDA,2024-03-08,87.52799987792973,80.29483112149254
NVDA,2024-03-11,85.77400207519531,81.44961131513217
NVDA,2024-03-12,91.91300201416018,82.21482301727154
NVDA,2024-03-13,90.88800048828128,83.7549801567386
NVDA,2024-03-14,87.94400024414061,84.94308827594703
NVDA,2024-03-15,87.83699798583987,85.76148505465976
NVDA,2024-03-18,88.45500183105467,86.4769553030558
NVDA,2024-03-19,89.39800262451175,87.34519664856411
NVDA,2024-03-20,90.37200164794918,88.515452422434
